What is an endofunction?	a function whose domain and range are the same set.<br><br>crole pg 2
Let L and K be lattices and f : L → K a map. Consider the following statement: <br><br>If f is a homomorphism, then f is order preserving.<br><br>Prove or give a counterexample.<br><br><br><br>	true. pg 44<br>TODO: add impostor
Let L and K be lattices and f : L → K a map. Consider the following statement: <br><br>f is a lattice isomorphism iff it is an order isomorphism.<br><br>Prove or give a counterexample.	true.<br>pg 44<br>TODO: add impostor.<br>
Give the definition an <i>ideal</i>.<br>	An <i>ideal</i> is a downset that is closed under join.<br><br>pg 44
Give the definition a <i>filter</i>	A filter is the dual concept to ideal: it's an upset that is closed under meet.<br><br>pg 45 
Consider the following statement:<br>an ideal J of a lattice is proper iff 1 is not an element of L.<br>Prove or give a counterexample.<br>	true. pg 45<br>
Consider the following statement:<br>an ideal J of a lattice is proper iff 0 is not an element of J.<br>Prove or give a counterexample.<br>	IMPOSTOR: it should be 1 rather than 0.<br>pg 45<br>
Let L be a lattice. Consider the following statement:<br>For any a ∈ L, ↓a is an ideal.<br>Prove or give a counterexample.<br><br><br><br>	true. <br>pg 45<br>
What is a <i>security</i>? What are the three main types of securities? Explain each.	Debt: to this class belong, in general, those securities that are “secure”, in the<br>sense of been risk-free, such as bonds, commercial notes and bank deposits.<br><br>Equity: refers generally to a company’s stocks or share value.<br><br>Derivatives: in this class are securities whose value depend on the values of other,<br>more basic underlying variables. Examples of derivatives are: futures and forward<br>contracts, swaps, and options. A stock option, for example, is a contract whose<br>value depends on the price of a stock at a certain date.<br><br>pg 1<br>
What is an <i>exchange market</i>?	Some debt contracts are established directly between two financial institutions,<br>or a financial institution and an investor, but in general securities are traded at<br>organized markets known as exchange markets. Examples of exchange markets of<br>stocks and options in the United States are the New York Stock Exchange (NYSE),<br>Chicago Board Options Exchange (CBOE) and Nasdaq; in Europe the London Stock<br>Exchange (LSE), Deutsche Börse, and Spanish Exchange Markets (BME); in Asia<br>the Tokyo Stock Exchange and Shanghai Stock Exchange, among others.<br><br>pg 2<br>
What is a <i>bond</i>?	A bond is a long-term loan contract between two parties, the issuer and the holder,<br>in which the issuer receives a specified amount of money from the holder and is<br>obliged to pay it back at a later date together with some interest.<br><br>arratia pg 2
What is considered the benchmark risk-free security in financial engineering?	Bonds are usually considered as the benchmark risk-free security in financial<br>engineering. <br><br>pg 2<br>
What is the <i>principal</i> of a bond?	the amount given by the lender<br><br>arratia pg 2<br>
What are the <i>coupons</i> of a bond?	the succsessive interest payments are called coupons<br><br>arratia pg 2
What is the <i>maturity date</i> of a bond?	the date that a bond expires<br><br>arratia pg 2<br>
Explain how <i>compounding interest</i> works.<br><br>	We should all be aware that most of all risk–free securities that earn interest at a certain fixed rate have their value computed through time by compounding the interest. This means that the interest earned at a certain moment is added to the current value of the investment and the next interest is computed over the resulting sum. Therefore the value of the security with interest depends not only on the interest rate, but also on the frequency in which the interest is compounded. Consider for example that an investor acquires a bond with a principal of $100, at an annual interest rate of 10%, and for n years. If the interest is paid annually then by the end of the first year the holder of the bond gets $110 = 100(1 + 0.1). By the second year the interest is computed over the previous sum and added to it (here is where compounding takes place), and thus the investor gets 110(1 + 0.1) = 100(1 + 0.1)<sup>2</sup>.<br><br>arratia pg 2/3<br><br>
With a principal of P<sub>0</sub>, give an expression for the value of the bond P<sub>n</sub> after the nth interest interval. 	P<sub>n</sub> = P<sub>0</sub>(1 + r)<sup>n</sup><br><br>arratia pg 3<br>
Suppose r is the interest rate per some interval (say, 1 year). If we augment interest frequency so that compounding interest happens at m evenly-distributed times per year, what is the value P<sub>n</sub> of the bond after the n<sup>th</sup> year, where P<sub>0</sub> is the principal?<br>	<br>P<sub>n</sub> = P<sub>0</sub>(1+r/m)<sup>nm</sup><br><br>arratia pg 3<br><br>
Derive the equation for the value of a bond with continuously-compounding interest with rate r over a generic time interval τ > 0.<br><br>	arratia pg 4<br>
If we have P<sub>t</sub>, the value of a continuously-compounded bond at time t with interest rate r, derive the formula for the value P<sub>t+τ</sub> of the bond at some later time t + τ. How do we recover the value at a previous time t - τ?<br>	arratia pg 4<br>
How can we choose an interest rate r for continuous compunding which coincides with a security with interest rate R per annum having m times per annum compounding?	arratia pg 4<br>
What is the <i>payoff</i> of a security?<br> 	The payoff of any security is its value at maturity. For a bond, its payoff is the principal plus all interests paid on the principal...<br><br>arratia pg 4<br>
What is the <i>profit</i> of a security? How is profit different from payoff?<br><br>	The payoff of any security is its value at maturity. For a bond, its payoff is the principal plus all interests paid on the principal, and given by Eq. (1.2), or if continuously compounding of interest is assumed it is given by Eq. (1.3). The profit of a security is its risk-adjusted payoff discounting the initial investment, which includes contract fees or any other transaction costs. (The idea of risk-adjusting the payoff will be clear from the ways we’ll settle each case of security to come.) For bonds there are usually no transactions costs or fees (or if there were, we can assume them to be included in the principal), and the risk is null; hence, the profit given by a bond is obtained by discounting the principal to the payoff.<br><br>arratia pg 4<br>
Give the expression for the profit given by a bond for a constant interest rate r through a period τ involving m coupons and a principal P<sub>0</sub>.	arratia pg 4<br>
Let P be an ordered set, let S, T ⊆ P and assume that ⋁S, ⋁T, ⋀S, and ⋀T exist in P.<br><br>Consider the following statement:<br><br>⋁S ⊆ ⋀T if and only if s ≤ t for all s ∈ S and all t ∈ T.<br><br>Prove or give a counterexample<br>	true.<br><br>d&p pg 46
Let P be an ordered set, let S, T ⊆ P and assume that ⋁S, ⋁T, ⋀S, and ⋀T exist in P.<br><br>Consider the following statement:<br><br>If S ⊆ T, then ⋁S ≤ ⋁T and ⋀S ≥ ⋀T<br><br>Prove or give a counterexample.<br>	d&p pg 46
Let P be an ordered set, let S, T ⊆ P and assume that ⋁S, ⋁T, ⋀S, and ⋀T exist in P.<br><br>Consider the following statement:<br><br>If S ⊆ T, then ⋀S ≤ ⋀T and ⋁S ≥ ⋁T<br><br>Prove or give a counterexample.<br>	IMPOSTOR<br><br>mstudy pg 24
Let P be a lattice, let S,T ⊆ P and assume that ⋁S, ⋁T, ⋀S, and ⋀T exist in P. Then<br><br>Consider the following statement<br><br>⋁(S ∪ T) = (⋁S) ∨ (⋁T)<br><br>Prove or give a counterexample	d&p pg 46<br><br>my solution starts with this reasoning.<br><br>Since (S ∪ T) ⊇ S, we have:<br>⋁(S ∪ T) ∨ ⋁S = ⋁(S ∪ T)<br><br>likewise, we have:<br>⋁(S ∪ T) ∨ ⋁T = ⋁(S ∪ T)<br><br>putting these together:<br>(⋁(S ∪ T) ∨ ⋁S) ∨ ⋁T = ⋁(S ∪ T)<br><br>Hence:<br>⋁(S ∪ T) ∨ (⋁S ∨ ⋁T) = ⋁(S ∪ T)<br><br>By the connecting lemma:<br>⋁(S ∪ T) ≥ (⋁S ∨ ⋁T)<br><br><br><br>
Let P be a lattice, let S,T ⊆ P and assume that ⋁S, ⋁T, ⋀S, and ⋀T exist in P. Then<br><br>Consider the following statement<br><br>⋁(S ∪ T) = (⋁S) ∧ (⋁T)<br><br>Prove or give a counterexample	IMPOSTOR<br><br>d&p pg 46<br>
Consider the following statement:<br><br>Every finite lattice is complete<br><br>True or false? why?	true.<br><br>d&p pg 46
What does it mean for a map φ : P → Q between ordered sets to <i>preserve existing joins</i>?<br>	whenever ⋁S exists in P then ⋁φ(S) exists in Q and φ(⋁S)=⋁φ(S). Preservation of existing meets is defined dually.<br><br>mstudy pg 24<br><br>
Let P and Q be ordered sets and φ : P → Q be an order-preserving map. Assume that S ⊆ P is such that ⋁S exists in P and ⋁φ(S) exists in Q.<br><br>Consider the followiung statement<br><br>φ(⋁S) ≥ ⋁φ(S)<br><br>Prove or give a counterexample<br><br>	true.<br><br>mstudy pg 24<br><br>
Let P and Q be ordered sets and φ : P → Q be an order-preserving map. Assume that S ⊆ P is such that ⋁S exists in P and ⋁φ(S) exists in Q.<br><br>Consider the followiung statement<br><br>φ(⋁S) ≤ ⋁φ(S)<br><br>Prove or give a counterexample<br><br>	IMPOSTOR<br><br>mstudy pg 24 (RIGHT PAGE)<br><br><br>
Let P and Q be ordered sets and φ : P → Q be an order isomorphism.<br><br>Consider the following statement:<br><br>φ preserves all existing joins and meets.<br><br>Prove or give a counterexample.<br>	true. d&p pg 47<br>
Let Q be a subset, with the induced order, of some ordered set P and let S ⊆ Q.<br><br>Consider the following statement:<br><br>If ⋁<sub>P</sub>S exists and belongs to Q, then ⋁<sub>Q</sub>S exists and equals ⋁<sub>P</sub>S.<br><br>Prove or give a counterexample.<br>	mstudy pg 24 (right-hand page)<br><br>
Let L be a family of subsets of a set X and let {A<sub>i</sub>}<sub>i ∈ L</sub> be a subset of L. Consider the following statement:<br><br>If ⋃<sub>i∈I</sub> A<sub>i</sub> ∈ L, then ⋁<sub>L</sub>{A<sub>i</sub> | i ∈ I} exists and equals ⋃<sub>i∈I</sub> A<sub>i</sub>.<br><br>Prove or give a counterexample.<br>	mstudy pg 24 (right page)<br>
Let L be a family of subsets of a set X and let {A<sub>i</sub>}<sub>i ∈ L</sub> be a subset of L. Consider the following statement:<br><br>If ⋃<sub>i∈I</sub> A<sub>i</sub> ∈ L, then ⋁<sub>L</sub>{A<sub>i</sub> | i∈I} exists and equals ⋂<sub>i∈I</sub> A<sub>i</sub>.<br><br>Prove or give a counterexample.	IMPOSTOR d&p pg 47<br>
If L is a family of sets that is closed under (posssibly infinite) union and intersection, is the ordered set (L,⊆) a complete lattice?<br><br>Prove or give a counterexample.<br>	it's true. it's called a "complete lattice of sets" d&p pg 47
Let P be an ordered set such that ⋀S exists in P for every non-empty subset S of P.<br><br>Consider the following statement:<br><br>Then ⋁S exists in P for every subset S of P which has an upper bound in P; indeed, ⋁S = ⋀S<sup>u</sup>.<br><br><br>	ideed, it's true: d&p pg 47, lemma 2.30<br>
Consider the following statement:<br><br>Let P be a non-empty ordered set. Then the following are equivalent:<br><br>i.) P is a complete lattice<br>ii.) ⋀S exists in P for every subset S of P<br>iii.) P has a top element, ⊤, and ⋀S exists in P for every non-empty subset S of P.<br><br>prove or give a counterexample.<br><br>	iii => i is the interesting case<br><br>every set in P has an inf: non-empty sets by fiat, the empty set's inf is ⊤.<br>does every set in P have a sup?<br><br>For each S ⊆ P, S<sup>U</sup>, the set of upper bounds of S, is non-empty because it contains ⊤. Hence, its a=⋀S<sup>U</sup> exists.<br><br>Claim: a=⋁S<br>a is clearly no greater than all other upper bounds of S.<br>We just need to show that a is itself an upper bound of S. For contradiction, suppose it is not. Then there is some s ∈ S such that a < s. s is a lower bound on S<sup>U</sup>, but it's greater than a, contradicting that a=⋀S<sup>U</sup>. Hence, a is an upper bound of S. <br><br>true d&p pg 47, thm 2.31<br>
Consider the following statement:<br><br>Let P be a non-empty ordered set. Then the following are equivalent:<br><br>i.) P is a complete lattice<br>ii.) ⋀S exists in P for every subset S of P<br>iii.) ⋀S exists in P for every non-empty subset S of P.<br><br>prove or give a counterexample.<br><br>	IMPOSTOR<br>d&p pg 47, thm 2.31<br>
Let X be a set and let L be a family of subsets of X, ordered by inclusion, such that<br><br>a) ⋂<sub>i∈I</sub>A<sub>i</sub> ∈ L for every non-empty family {A<sub>i</sub>}<sub>i∈I</sub> ⊆ L, and<br><br>b) X ∈ L<br><br><br>Consider the following statement:<br><br>⋀<sub>i∈I</sub> A<sub>i</sub> = ⋂<sub>i∈I</sub> A<sub>i</sub><br>and<br>⋁<sub>i∈I</sub> A<sub>i</sub> = ⋂{B ∈ L | ⋃<sub>i∈I</sub> A<sub>i</sub> ⊆ B}<br><br>Prove or give a counterexample<br>	true. d&p pg 48<br>
Let X be a set and let L be a family of subsets of X, ordered by inclusion, such that<br><br>a) ⋂<sub>i∈I</sub>A<sub>i</sub> ∈ L for every non-empty family {A<sub>i</sub>}<sub>i∈I</sub> ⊆ L, and<br><br>b) X ∈ L<br><br><br>Consider the following statement:<br><br>⋀<sub>i∈I</sub> A<sub>i</sub> = ⋂<sub>i ∈ I</sub>A<sub>i</sub><br>and<br>⋁<sub>i∈I</sub> A<sub>i</sub> = ⋃<sub>i ∈ I</sub>A<sub>i</sub><br><br>Prove or give a counterexample	IMPOSTOR<br><br>pg 25 (left)<br><br><br><br>
Consider the following statement:<br><br>the subgroups Sub G of a group G form a topped ⋂-structure<br><br>prove or give a counterexample<br><br><br><br>	true<br>TODO: add impostor<br><br>d&p pg 49<br>
Consider the following statement:<br><br>the normal subgroups N-SubG of a group G form a topped ⋂-structure<br><br>prove or give a counterexample<br><br><br><br>	true d&p pg 49<br>
Consider the following statement:<br><br>the subspaces Sub V of a vector space V form a topped ⋂-structure<br><br>prove or give a counterexample<br><br><br><br>	true d&p pg 49<br><br>I need some counterexamples for topped intersection structures<br>
